id,place,jeju
1,성산 일출봉,서귀포
2,한라산 국립공원,제주
3,용머리 해안,서귀포
4,함덕 서우봉 해변,제주
5,우도,제주
6,제주 절물 자연 휴양림,제주
7,비자림,제주
8,협재 해수욕장,제주
9,대포해안주상절리대,서귀포
10,송악산,서귀포
11,약천사,서귀포
12,정방 폭포,서귀포
13,생각하는 정원,제주
14,한림공원,제주
15,박물관은 살아있다,서귀포
16,천제연 폭포,서귀포
17,아쿠아 플라넷 제주,서귀포
18,쇠소깍,서귀포
19,에코랜드 테마파크,제주
20,만장굴,제주
21,제주 돌문화 공원,제주
22,월정리해변,제주
23,외돌개,서귀포
24,산굼부리 분화구,제주
25,천지연 폭포,서귀포
26,서귀포매일올레시장,서귀포
27,한라산 성판악,제주
28,금능해수욕장,제주
29,제주김녕미로공원,제주
30,김영갑 갤러리 두모악,서귀포
31,제주난타,제주
32,동문 재래시장,제주
33,제주 여미지 식물원,서귀포
34,새연교,서귀포
35,해녀 박물관,제주
36,제주 민속자연사 박물관,제주
37,김녕 성세기 해변,제주
38,제주 4.3 평화공원,제주
39,오설록 티 뮤지엄,서귀포
40,테디베어 박물관 제주,서귀포
41,세화 해수욕장,제주
42,한라산,제주
43,중문 색달 해변,서귀포
44,우도등대공원,제주
45,한라 수목원,제주
46,믿거나 말거나 박물관,서귀포
47,광치기 해변,서귀포
48,흑돼지 거리,제주
49,제주 올레길 ,NA
50,메이즈랜드,제주
51,세계자동차제주박물관,서귀포
52,산방굴사,서귀포
53,산방산,서귀포
54,카멜리아힐,서귀포
55,새별오름,제주
56,테지움 제주,제주
57,제주 1100고지 습지보호지역,서귀포
58,제주 유리의 성,제주
59,황우지,서귀포
60,넥슨컴퓨터박물관,제주
61,제주방주교회,제주
62,이중섭 미술관,서귀포
63,제주항공우주박물관,서귀포
64,세계 조가비 박물관,서귀포
65,헬로 키티 아일랜드,제주
66,신화테마파크,서귀포
67,건강과 성 박물관,서귀포
68,제주민속촌,서귀포
69,마라도,서귀포
70,본태박물관,서귀포
